"eaf056v2",NA,"Cooper; James Fenimore","The last of the Mohicans Vol.2",NA,NA,1826,NA,NA
"eaf057v1",NA,"Cooper; James Fenimore","The prairie Vol.1",NA,NA,1827,NA,NA
"eaf057v2",NA,"Cooper; James Fenimore","The prairie Vol.2",NA,NA,1827,NA,NA
"eaf058v1",NA,"Cooper; James Fenimore","The Red Rover Vol.1",NA,NA,1828,NA,NA
"eaf058v2",NA,"Cooper; James Fenimore","The Red Rover Vol.2",NA,NA,1828,NA,NA
"eaf059v1",NA,"Cooper; James Fenimore","The wept of Wish-ton-Wish Vol.1",NA,NA,1829,NA,NA
"eaf059v2",NA,"Cooper; James Fenimore","The wept of Wish-ton-Wish Vol.2",NA,NA,1829,NA,NA
"eaf060v1",NA,"Cooper; James Fenimore","The bravo Vol.1",NA,NA,1831,NA,NA
"eaf060v2",NA,"Cooper; James Fenimore","The bravo Vol.2",NA,NA,1831,NA,NA
"eaf061v1",NA,"Cooper; James Fenimore","The water-witch or The skimmer of the seas Vol. 1",NA,NA,1831,NA,NA
"eaf061v2",NA,"Cooper; James Fenimore","The water-witch or The skimmer of the seas Vol. 2",NA,NA,1831,NA,NA
"eaf062v1",NA,"Cooper; James Fenimore","The Heidenmauer or The Benedictines Vol.1",NA,NA,1832,NA,NA
"eaf062v2",NA,"Cooper; James Fenimore","The Heidenmauer or The Benedictines Vol.2",NA,NA,1832,NA,NA
"eaf063v1",NA,"Cooper; James Fenimore","The headsman or The Abbaye des Vignerons Vol.1",NA,NA,1833,NA,NA
"eaf063v2",NA,"Cooper; James Fenimore","The headsman or The Abbaye des Vignerons Vol.2",NA,NA,1833,NA,NA
"eaf064v1",NA,"Cooper; James Fenimore","The monikins Vol.1",NA,NA,1835,NA,NA
"eaf064v2",NA,"Cooper; James Fenimore","The monikins Vol.2",NA,NA,1835,NA,NA
"eaf065v1",NA,"Cooper; James Fenimore","Home as found Vol.1",NA,NA,1838,NA,NA
"eaf065v2",NA,"Cooper; James Fenimore","Home as found Vol.2",NA,NA,1838,NA,NA
"eaf066v1",NA,"Cooper; James Fenimore","Homeward bound or The chase Vol.1",NA,NA,1838,NA,NA
"eaf066v2",NA,"Cooper; James Fenimore","Homeward bound or The chase Vol.2",NA,NA,1838,NA,NA
"eaf067v1",NA,"Cooper; James Fenimore","Mercedes of Castile or The voyage to Cathay Vol.1",NA,NA,1840,NA,NA
"eaf067v2",NA,"Cooper; James Fenimore","Mercedes of Castile or The voyage to Cathay Vol.2",NA,NA,1840,NA,NA
"eaf068v1",NA,"Cooper; James Fenimore","The pathfinder or The inland sea Vol.1",NA,NA,1840,NA,NA
"eaf068v2",NA,"Cooper; James Fenimore","The pathfinder or The inland sea Vol.2",NA,NA,1840,NA,NA
"eaf069v1",NA,"Cooper; James Fenimore","The deerslayer: or The first war-path Vol.1",NA,NA,1841,NA,NA
"eaf069v2",NA,"Cooper; James Fenimore","The deerslayer: or The first war-path Vol.2",NA,NA,1841,NA,NA
"eaf070v1",NA,"Cooper; James Fenimore","The two admirals Vol.1",NA,NA,1842,NA,NA
