"Wright2-0028",NA,"Addison; Alvin.","Eveline Mandeville",NA,NA,1837,NA,NA
"Wright2-0029",NA,"Anonymous","The Adopted daughter or The trials of Sabra",NA,NA,1858,NA,NA
"Wright2-0029A",NA,"A. R. B.","Agnes Arlington or Life times troubles tribulations and sad end of Agnes Arlington the cotton planter's daughter... an autobiographical narrative",NA,NA,1854,NA,NA
"Wright2-0030",NA,"Alcott; Louisa May","Hospital sketches",NA,NA,1863,NA,NA
"Wright2-0031",NA,"Alcott; Louisa May","Hospital sketches ; and Camp and fireside stories",NA,NA,1869,NA,NA
"Wright2-0034",NA,"Alcott; Louisa May","Work",NA,NA,1873,NA,NA
"Wright2-0035",NA,"Aldrich; Thomas Bailey","Daisy's necklace and what came of it",NA,NA,1857,NA,NA
"Wright2-0036",NA,"Aldrich; Thomas Bailey","Marjorie Daw",NA,NA,1873,NA,NA
"Wright2-0037",NA,"Aldrich; Thomas Bailey","Out of his head",NA,NA,1862,NA,NA
"Wright2-0038",NA,"Aldrich; Thomas Bailey","Père Antoine's date palm",NA,NA,1866,NA,NA
"Wright2-0042",NA,"Bradshaw; Wesley","Angel Agnes or The heroine of the Yellow Fever Plague in Shreveport ...",NA,NA,1873,NA,NA
"Wright2-0043",NA,"Bradshaw; Wesley","The angel of the battle-field",NA,NA,1865,NA,NA
"Wright2-0044",NA,"Bradshaw; Wesley","Brigham Young's daughter",NA,NA,1870,NA,NA
"Wright2-0045",NA,"Bradshaw; Wesley","Carrie Clancy",NA,NA,1873,NA,NA
"Wright2-0046",NA,"Bradshaw; Wesley","General Sherman's Indian spy",NA,NA,1865,NA,NA
"Wright2-0046A",NA,"Bradshaw; Wesley","Mattie Stephenson",NA,NA,1873,NA,NA
"Wright2-0047",NA,"Bradshaw; Wesley","Maud of the Mississippi",NA,NA,1863,NA,NA
"Wright2-0048",NA,"Bradshaw; Wesley","Pauline of the Potomac or General McClellan's spy",NA,NA,1862,NA,NA
"Wright2-0049",NA,"Bradshaw; Wesley","The picket slayer",NA,NA,1863,NA,NA
"Wright2-0050",NA,"Bradshaw; Wesley","Poor Lizzie Lee",NA,NA,1872,NA,NA
"Wright2-0051",NA,"Bradshaw; Wesley","Washington's vision",NA,NA,1864,NA,NA
"Wright2-0052A",NA,"Rapler; Rob.","The hermit of Aleova or The shepherd girl's triumph",NA,NA,1857,NA,NA
"Wright2-0052B",NA,"Alfredus.","The needle-woman",NA,NA,1871,NA,NA
"Wright2-0054",NA,"Alger; Horatio","Timothy Crump's ward",NA,NA,1866,NA,NA
"Wright2-0055",NA,"Lady.","Alice Granger",NA,NA,1852,NA,NA
"Wright2-0056",NA,"Allen; Martha.","Day-dreams",NA,NA,1852,NA,NA
"Wright2-0057",NA,"Kirk; Eleanor","Up Broadway and its sequel",NA,NA,1870,NA,NA
"Wright2-0058",NA,"Clemmer; Mary","Eirene or A woman's right",NA,NA,1871,NA,NA
"Wright2-0059",NA,"Clemmer; Mary","His two wives",NA,NA,1875,NA,NA
"Wright2-0060",NA,"Clemmer; Mary","Victoire",NA,NA,1864,NA,NA
"Wright2-0061",NA,"Anonymous","The amorous intrigues and adventures of Aaron Burr",NA,NA,1861,NA,NA
"Wright2-0063",NA,"Anderson; Florence.","Zenaida",NA,NA,1858,NA,NA
"Wright2-0063A",NA,"Anonymous","Anna Louisa and Nannie or The three victims",NA,NA,1859,NA,NA
"Wright2-0064",NA,"New-Yorker","Annals of the Empire City",NA,NA,1852,NA,NA
"Wright2-0065",NA,"Appell; Theron B.","Belshazzar or The fall of Babylon",NA,NA,1861,NA,NA
"Wright2-0066",NA,"Appell; Theron B.","The knight of Castile",NA,NA,1862,NA,NA
"Wright2-0067",NA,"Anonymous","The Arch fiend or The life confession and execution of Green H. Long ...",NA,NA,1852,NA,NA
"Wright2-0068",NA,"Bendbow; Hesper.","More than she could bear",NA,NA,1872,NA,NA
"Wright2-0069",NA,"Anonymous","Archibald Cameron or Heart trials",NA,NA,1852,NA,NA
"Wright2-0070",NA,"Argyle; Anna.","The Cecilias or The force of circumstances",NA,NA,1866,NA,NA
"Wright2-0071",NA,"Argyle; Anna.","The general's daughter",NA,NA,1869,NA,NA
"Wright2-0073",NA,"Argyle; Anna.","Olive Lacey",NA,NA,1874,NA,NA
"Wright2-0074",NA,"Argyle; Archie.","Cupid's album",NA,NA,1866,NA,NA
"Wright2-0075",NA,"Armstrong; H. S.","Trifles for the Christmas holidays",NA,NA,1869,NA,NA
"Wright2-0076",NA,"Morford; Henry","Red-tape and pigeon-hole generals",NA,NA,1864,NA,NA
"Wright2-0077",NA,"Arnold; Alexander Streeter","The Benson family",NA,NA,1869,NA,NA
"Wright2-0078",NA,"Arnold; Augustus C. L.","The signet of King Solomon or The Templar's daughter",NA,NA,1860,NA,NA
"Wright2-0079",NA,"Anonymous","Arrest confession and suicide of Almira Cathcart ...",NA,NA,1869,NA,NA
"Wright2-0080",NA,"Arrington; Alfred W.","The rangers and regulators of the Tanaha or Life among the lawless",NA,NA,1856,NA,NA
"Wright2-0082",NA,"Arthur; T. S.","After a shadow and other stories",NA,NA,1868,NA,NA
"Wright2-0083",NA,"Arthur; T. S.","After the storm",NA,NA,1868,NA,NA
"Wright2-0083A",NA,"Arthur; T. S.","All's for the best",NA,NA,1869,NA,NA
"Wright2-0084",NA,"Arthur; T. S.","The Allen house or Twenty years ago and now",NA,NA,1860,NA,NA
"Wright2-0085",NA,"Arthur; T. S.","The angel and the demon",NA,NA,1860,NA,NA
"Wright2-0086",NA,"Arthur; T. S.","The angel of the household",NA,NA,1854,NA,NA
"Wright2-0087",NA,"Arthur; T. S.","Before and after the election or The political experiences of Mr. Patrick Murphy",NA,NA,1853,NA,NA
"Wright2-0089",NA,"Arthur; T. S.","Confessions of a housekeeper",NA,NA,1852,NA,NA
"Wright2-0090",NA,"Arthur; T. S.","Danger or Wounded in the house of a friend /",NA,NA,1875,NA,NA
"Wright2-0092",NA,"[None]","Friends and neighbours or Two ways of living in the world",NA,NA,1856,NA,NA
"Wright2-0093",NA,"Arthur; T. S.","The good time coming",NA,NA,1855,NA,NA
"Wright2-0094",NA,"Arthur; T. S.","Growler's income tax",NA,NA,1864,NA,NA
"Wright2-0095",NA,"Arthur; T. S.","The hand but not the heart or The life-trials of Jessie Loring",NA,NA,1858,NA,NA
"Wright2-0096",NA,"Arthur; T. S.","Heart-histories and life-pictures",NA,NA,1853,NA,NA
"Wright2-0097",NA,"Arthur; T. S.","Hidden wings and other stories",NA,NA,1865,NA,NA
"Wright2-0099",NA,"Arthur; T. S.","Home lights and shadows",NA,NA,1853,NA,NA
"Wright2-0100",NA,"Arthur; T. S.","The home mission",NA,NA,1853,NA,NA
"Wright2-0101",NA,"Arthur; T. S.","Home scenes and home influence",NA,NA,1854,NA,NA
"Wright2-0102",NA,"Arthur; T. S.","The iron rule or Tyranny in the household",NA,NA,1853,NA,NA
"Wright2-0103",NA,"Arthur; T. S.","Leaves from the book of human life",NA,NA,1855,NA,NA
"Wright2-0104",NA,"Arthur; T. S.","Lessons in life",NA,NA,1851,NA,NA
"Wright2-0105",NA,"Arthur; T. S.","Light on shadowed paths",NA,NA,1864,NA,NA
"Wright2-0106",NA,"Arthur; T. S.","The lights and shadows of real life",NA,NA,1851,NA,NA
"Wright2-0107",NA,"Arthur; T. S.","Lizzy Glenn or The trials of a seamstress",NA,NA,1859,NA,NA
"Wright2-0108",NA,"Arthur; T. S.","The lost bride or The astrologer's prophecy fulfilled",NA,NA,1866,NA,NA
"Wright2-0109",NA,"Arthur; T. S.","Married life",NA,NA,1852,NA,NA
"Wright2-0110",NA,"[None]","The mother's rule or The right way and the wrong way",NA,NA,1856,NA,NA
"Wright2-0111",NA,"Arthur; T. S.","Not anything for peace and other stories",NA,NA,1869,NA,NA
"Wright2-0112",NA,"Arthur; T. S.","Nothing but money",NA,NA,1865,NA,NA
"Wright2-0113",NA,"Arthur; T. S.","Off-hand sketches",NA,NA,1851,NA,NA
"Wright2-0115",NA,"Arthur; T. S.","The old man's bride",NA,NA,1853,NA,NA
"Wright2-0116",NA,"Arthur; T. S.","Orange blossoms fresh and faded",NA,NA,1871,NA,NA
"Wright2-0117",NA,"[None]","Our homes",NA,NA,1856,NA,NA
"Wright2-0118",NA,"Arthur; T. S.","Our neighbors in the corner house",NA,NA,1866,NA,NA
"Wright2-0119",NA,"Arthur; T. S.","Out in the world",NA,NA,1864,NA,NA
"Wright2-0120",NA,"Arthur; T. S.","The peacemaker and other stories",NA,NA,1869,NA,NA
"Wright2-0121",NA,"Arthur; T. S.","Seed-time and harvest or Whatsoever a man soweth that shall he also reap",NA,NA,1851,NA,NA
"Wright2-0124",NA,"Arthur; T. S.","Sowing the wind and other stories",NA,NA,1865,NA,NA
"Wright2-0125",NA,"Arthur; T. S.","Sparing to spend or The Loftons and Pinkertons",NA,NA,1853,NA,NA
"Wright2-0126",NA,"Arthur; T. S.","Steps towards heaven or Religion in common life",NA,NA,1858,NA,NA
"Wright2-0127",NA,"Arthur; T. S.","Stories for parents",NA,NA,1851,NA,NA
"Wright2-0128",NA,"Arthur; T. S.","Stories for young housekeepers",NA,NA,1851,NA,NA
"Wright2-0129",NA,"Arthur; T. S.","Sunshine at home and other stories",NA,NA,1864,NA,NA
"Wright2-0130",NA,"Arthur; T. S.","The tavern-keeper's victims or Six nights with the Washingtonians",NA,NA,1860,NA,NA
"Wright2-0131",NA,"Arthur; T. S.","Ten nights in a bar-room and what I saw there",NA,NA,1854,NA,NA
"Wright2-0132",NA,"Arthur; T. S.","Three years in a man-trap",NA,NA,1872,NA,NA
"Wright2-0133",NA,"Arthur; T. S.","Tom Blinn's Temperance Society and other tales",NA,NA,1870,NA,NA
"Wright2-0134",NA,"Arthur; T. S.","Trial and triumph or Firmness in the household",NA,NA,1855,NA,NA
"Wright2-0135",NA,"Arthur; T. S.","Trials and confessions of a housekeeper",NA,NA,1859,NA,NA
"Wright2-0137",NA,"Arthur; T. S.","The tried and the tempted",NA,NA,1851,NA,NA
"Wright2-0138",NA,"[None]","The true path and how to walk therein",NA,NA,1888,NA,NA
"Wright2-0138A",NA,"Arthur; T. S.","True riches or Wealth without wings",NA,NA,1852,NA,NA
"Wright2-0139",NA,"Arthur; T. S.","Twenty years ago and now",NA,NA,1860,NA,NA
"Wright2-0140",NA,"Arthur; T. S.","The two wives or Lost and won",NA,NA,1851,NA,NA
"Wright2-0141",NA,"Arthur; T. S.","The way to prosper or In union there is strength",NA,NA,1851,NA,NA
"Wright2-0143",NA,"[None]","The wedding guest",NA,NA,1856,NA,NA
"Wright2-0144",NA,"Arthur; T. S.","What came afterwards",NA,NA,1865,NA,NA
"Wright2-0145",NA,"Arthur; T. S.","What can woman do?",NA,NA,1856,NA,NA
"Wright2-0146",NA,"Arthur; T. S.","The withered heart",NA,NA,1857,NA,NA
"Wright2-0149",NA,"Arthur; T. S.","Words for the wise",NA,NA,1851,NA,NA
"Wright2-0150",NA,"[None]","Words of cheer for the tempted the toiling and the sorrowing",NA,NA,1856,NA,NA
"Wright2-0151",NA,"Asheton; Francis.","A modern Cressida /",NA,NA,1875,NA,NA
"Wright2-0152",NA,"Ashland; Aria.","The rebel scout",NA,NA,1855,NA,NA
"Wright2-0155",NA,"Hale; Edward Everett","Atlantic tales",NA,NA,1866,NA,NA
"Wright2-0156",NA,"Austin; Jane G.","Cipher",NA,NA,1869,NA,NA
"Wright2-0158",NA,"Austin; Jane G.","Outpost",NA,NA,1867,NA,NA
"Wright2-0159",NA,"Austin; Jane G.","The shadow of Moloch Mountain",NA,NA,1870,NA,NA
"Wright2-0160",NA,"Anonymous","The autobiography of a married woman",NA,NA,1859,NA,NA
"Wright2-0160A",NA,"Anonymous","The Autobiography of Charles Moore",NA,NA,1854,NA,NA
"Wright2-0161",NA,"A. J. G.","The old distillery or Hope Archer",NA,NA,1865,NA,NA
"Wright2-0162",NA,"Avery; M. A.","The rebel general's loyal bride",NA,NA,1874,NA,NA
"Wright2-0163",NA,"Avery; Samuel Putnam","The harp of a thousand strings or Laughter for a lifetime",NA,NA,1858,NA,NA
"Wright2-0164",NA,"Avery; Samuel Putnam","Mrs. Partington's carpet-bag of fun",NA,NA,1854,NA,NA
"Wright2-0165",NA,"J. B.","Wolfsden",NA,NA,1856,NA,NA
"Wright2-0166",NA,"M. B.","Philip English's two cups",NA,NA,1869,NA,NA
"Wright2-0167",NA,"M. A. A. B.","Clouded in mystery",NA,NA,1874,NA,NA
"Wright2-0169",NA,"Babcock; Retta B.","Clemence",NA,NA,1870,NA,NA
"Wright2-0171",NA,"Babcock; Rufus","The emigrant's mother",NA,NA,1871,NA,NA
"Wright2-0172",NA,"Davis; Lucius Daniel","The itinerant side or Pictures of life in the itinerancy",NA,NA,1857,NA,NA
"Wright2-0173",NA,"Badeau; Adam","The vagabond",NA,NA,1859,NA,NA
"Wright2-0174",NA,"Baer; B. F. (Benjamin F.); Mrs.","Irene or Beach-broken billows",NA,NA,1875,NA,NA
"Wright2-0176",NA,"Baer; Warren.","Champagne Charlie! or The ""Sports"" of New-York",NA,NA,1868,NA,NA
"Wright2-0178",NA,"Anonymous","Baffled schemes",NA,NA,1867,NA,NA
"Wright2-0179",NA,"Bagby; George William","The letters of Mozis Addums to Billy Ivvins",NA,NA,1862,NA,NA
"Wright2-0180",NA,"Bagby; George William","Mozis Addums' new letters.",NA,NA,1860,NA,NA
"Wright2-0182",NA,"Bailey; James M.","Life in Danbury",NA,NA,1873,NA,NA
"Wright2-0183",NA,"Bailey; Margaret Jewett","The grains or Passages in the life of Ruth Rover",NA,NA,1854,NA,NA
"Wright2-0184",NA,"Anonymous","The Baked head and other tales",NA,NA,1856,NA,NA
"Wright2-0185",NA,"Delphine.","Solon or The Rebellion of '61",NA,NA,1862,NA,NA
"Wright2-0187",NA,"Leslie; Madeline","Behind the curtain or Leelinau",NA,NA,1869,NA,NA
"Wright2-0189",NA,"Leslie; Madeline","Cora and the doctor or Revelations of a physician's wife",NA,NA,1855,NA,NA
"Wright2-0191",NA,"Leslie; Madeline","The household angel in disguise",NA,NA,1857,NA,NA
"Wright2-0193",NA,"Leslie; Madeline","Old Moll and little Agnes or The rich poor and the poor rich",NA,NA,1857,NA,NA
"Wright2-0194",NA,"Leslie; Madeline","The two homes or Earning and spending",NA,NA,1862,NA,NA
"Wright2-0196",NA,"Baker; William M.","Mose Evans",NA,NA,1874,NA,NA
"Wright2-0197",NA,"Baker; William M.","The new Timothy",NA,NA,1870,NA,NA
"Wright2-0198",NA,"Baldwin; Isaac.","The wonderful adventures and horrible disclosures of a Louisville policeman",NA,NA,1852,NA,NA
"Wright2-0199",NA,"Baldwin; Joseph G.","The flush times of Alabama and Mississippi",NA,NA,1853,NA,NA
"Wright2-0200",NA,"Anonymous","Southern and South-Western sketches",NA,NA,1855,NA,NA
"Wright2-0204",NA,"Ballou; Maturin Murray","The gipsey daughter or The fortunes of a Spanish cavalier",NA,NA,1851,NA,NA
"Wright2-0207",NA,"Ballou; Maturin Murray","The sea-witch or The African quadroon",NA,NA,1855,NA,NA
"Wright2-0208",NA,"Ballou; Maturin Murray","The Turkish spies Ali Abubeker Kaled and Zenobia Marrita Mustapha or The Mohammedan prophet of 1854",NA,NA,1855,NA,NA
"Wright2-0209",NA,"Banvard; Joseph","Priscilla or Trials for the truth",NA,NA,1854,NA,NA
"Wright2-0210",NA,"Barber; Joseph.","War letters of a disbanded volunteer",NA,NA,1864,NA,NA
"Wright2-0211",NA,"Barclay; Geo. Lippard","""Little Cuba"" or Circumstantial evidence",NA,NA,1873,NA,NA
"Wright2-0212",NA,"Barker; B.","The bandit of the ocean or The female privateer",NA,NA,1855,NA,NA
"Wright2-0213",NA,"Barlow; D. H.","The Howards",NA,NA,1851,NA,NA
"Wright2-0214",NA,"Barnard; Charles","Camilla: a tale of a violin",NA,NA,1874,NA,NA
"Wright2-0215",NA,"Barnard; Charles","Farming by inches or ""With brains Sir""",NA,NA,1869,NA,NA
"Wright2-0216",NA,"Barnard; Charles","Gardening for money",NA,NA,1869,NA,NA
"Wright2-0217",NA,"Barnard; Charles","Money and music",NA,NA,1874,NA,NA
"Wright2-0218",NA,"Barnard; Charles","My ten-rod farm or How I became a florist",NA,NA,1869,NA,NA
"Wright2-0219",NA,"Barnard; Charles","The soprano",NA,NA,1869,NA,NA
"Wright2-0220",NA,"Barnard; Charles","The strawberry garden",NA,NA,1871,NA,NA
"Wright2-0221",NA,"Barnes; Euphemia.","Ellen Durand",NA,NA,1855,NA,NA
"Wright2-0222",NA,"Barnes; Josiah.","The old inn or The travellers' entertainment",NA,NA,1855,NA,NA
"Wright2-0223",NA,"W. T. B.","The Recluse of the Conewaga; or The little valley of the blue spring",NA,NA,1853,NA,NA
"Wright2-0224",NA,"Barrell; George.","Bubbles of fiction",NA,NA,1852,NA,NA
"Wright2-0225",NA,"Barrington; Charles F.","Emily or The orphan sisters",NA,NA,1853,NA,NA
"Wright2-0226",NA,"Barrington; Charles F.","Nancy Waterman or Woman's faith triumphant",NA,NA,1853,NA,NA
"Wright2-0228",NA,"Bartlett; C. A.; Mrs.","Lillie Ray or Every cloud has a silver lining",NA,NA,1874,NA,NA
"Wright2-0229",NA,"Bartlett; Napier","Clarimonde",NA,NA,1863,NA,NA
"Wright2-0230",NA,"Bartlett; Napier","Stories of the Crescent City",NA,NA,1869,NA,NA
"Wright2-0231",NA,"Bartol; Mary.","Honor May",NA,NA,1866,NA,NA
"Wright2-0232",NA,"Barton; K.","Io",NA,NA,1851,NA,NA
"Wright2-0233",NA,"Bascom; Dick.","The carpet-bagger in Tennessee",NA,NA,1869,NA,NA
"Wright2-0234",NA,"Bates; Lizzie.","Downward and upward",NA,NA,1871,NA,NA
"Wright2-0235",NA,"Bates; Lizzie.","The Gabled House or Self-Sacrifice",NA,NA,1869,NA,NA
"Wright2-0236",NA,"Bates; Lizzie.","Had you been in his place",NA,NA,1873,NA,NA
"Wright2-0237",NA,"Bates; Lizzie.","How it was paid",NA,NA,1871,NA,NA
"Wright2-0239",NA,"Beal; Nathan Stone Reed","Diamond leaves from the lives of the Dimond family",NA,NA,1872,NA,NA
"Wright2-0239A",NA,"Bean; Francis A.","An allegory",NA,NA,1872,NA,NA
"Wright2-0240",NA,"Almore; Casper","Papers from Overlook-House",NA,NA,1866,NA,NA
"Wright2-0240A",NA,"Citizen of Milwaukee.","Garangula the Ongua-Honwa chief",NA,NA,1857,NA,NA
"Wright2-0241",NA,"B. T.","The beautiful Jewess Rachel Mendoza",NA,NA,1853,NA,NA
"Wright2-0242B",NA,"Anonymous","The Beauty of woman's faith",NA,NA,1859,NA,NA
"Wright2-0244",NA,"Beckwith; J. R.; Mrs.","The Winthrops",NA,NA,1864,NA,NA
"Wright2-0245",NA,"Beebe; Carrie D.","Violets",NA,NA,1873,NA,NA
"Wright2-0246",NA,"Ravenswood.","Edmund Dawn or Ever forgive",NA,NA,1873,NA,NA
"Wright2-0247",NA,"Beecher; Henry Ward; Mrs.","From dawn to daylight or The simple story of a western home",NA,NA,1859,NA,NA
"Wright2-0248",NA,"Beecher; Henry Ward","Norwood or Village life in New England",NA,NA,1868,NA,NA
"Wright2-0249",NA,"Anonymous","Behind the curtain",NA,NA,1853,NA,NA
"Wright2-0250",NA,"Belisle; D. W.","The American family Robinson or The adventures of a family lost in the great desert of the West",NA,NA,1854,NA,NA
"Wright2-0251",NA,"Belisle; Orvilla S.","The Arch Bishop or Romanism in the United States",NA,NA,1855,NA,NA
"Wright2-0252",NA,"Belisle; Orvilla S.","The prophets or Mormonism unveiled",NA,NA,1855,NA,NA
"Wright2-0253",NA,"Bell; Alfreda Eva.","Boadicea",NA,NA,1855,NA,NA
"Wright2-0254",NA,"Bell; Alfreda Eva.","The rebel cousins or Life and love in Secessia",NA,NA,1864,NA,NA
"Wright2-0255",NA,"Thorpe; Kamba","Four-oaks",NA,NA,1867,NA,NA
"Wright2-0256",NA,"Belmont; Cara.","The city side or Passages from a pastor's portfolio",NA,NA,1854,NA,NA
"Wright2-0257",NA,"Benauly.","Cone cut corners",NA,NA,1855,NA,NA
"Wright2-0258",NA,"Benauly.","Matthew Caraby",NA,NA,1859,NA,NA
"Wright2-0259",NA,"Benedict; Frank Lee","John Worthington's name",NA,NA,1874,NA,NA
"Wright2-0260",NA,"Benedict; Frank Lee","Miss Dorothy's charge",NA,NA,1873,NA,NA
"Wright2-0261",NA,"Benedict; Frank Lee","Miss Van Kortland",NA,NA,1870,NA,NA
"Wright2-0262",NA,"Benedict; Frank Lee","Mr. Vaughan's heir",NA,NA,1875,NA,NA
"Wright2-0264",NA,"Benedict; Frank Lee","St. Simon's niece",NA,NA,1875,NA,NA
"Wright2-0265",NA,"Benjamin; S. G. W.","The choice of Paris",NA,NA,1870,NA,NA
"Wright2-0266",NA,"Bennett; Emerson","Alfred Morland or The legacy",NA,NA,1855,NA,NA
"Wright2-0267",NA,"Bennett; Emerson","The artist's bride or The pawnbroker's heir",NA,NA,1856,NA,NA
"Wright2-0268",NA,"Bennett; Emerson","The bandit queen",NA,NA,1869,NA,NA
"Wright2-0269",NA,"Bennett; Emerson","The border rover",NA,NA,1857,NA,NA
"Wright2-0270",NA,"Bennett; Emerson","The bride of the wilderness",NA,NA,1854,NA,NA
"Wright2-0271",NA,"Bennett; Emerson","Clara Moreland or Adventures in the far South-West",NA,NA,1853,NA,NA
"Wright2-0272",NA,"Bennett; Emerson","Ellen Norbury or The adventures of an orphan",NA,NA,1855,NA,NA
"Wright2-0273",NA,"Bennett; Emerson","The fair rebel",NA,NA,1853,NA,NA
"Wright2-0274",NA,"Bennett; Emerson","The female spy or Treason in the camp",NA,NA,1853,NA,NA
"Wright2-0276",NA,"Bennett; Emerson","Intriguing for a princess",NA,NA,1859,NA,NA
"Wright2-0278",NA,"Bennett; Emerson","The orphan's trials or Alone in a great city",NA,NA,1874,NA,NA
"Wright2-0279",NA,"Bennett; Emerson","The outlaw's daughter or Adventures in the South",NA,NA,1874,NA,NA
"Wright2-0280",NA,"Bennett; Emerson","The phantom of the forest",NA,NA,1868,NA,NA
"Wright2-0281",NA,"Bennett; Emerson","The pioneer's daughter ; The unknown countess",NA,NA,1851,NA,NA
"Wright2-0282",NA,"Bennett; Emerson","Rosalie Du Pont or Treason in the camp",NA,NA,1851,NA,NA
"Wright2-0283",NA,"Bennett; Emerson","The unknown countess",NA,NA,1851,NA,NA
"Wright2-0284",NA,"Bennett; Emerson","The unknown countess or Crime and its results",NA,NA,1854,NA,NA
"Wright2-0285",NA,"Bennett; Emerson","Viola or Adventures in the far South-West",NA,NA,1852,NA,NA
"Wright2-0286",NA,"Bennett; Emerson","Walde-Warren",NA,NA,1852,NA,NA
"Wright2-0287",NA,"Bennett; Emerson","Wild scenes on the frontiers or Heroes of the West",NA,NA,1859,NA,NA
"Wright2-0288",NA,"Butt; Martha Haines","Antifanaticism",NA,NA,1853,NA,NA
"Wright2-0289",NA,"Butt; Martha Haines","The leisure moments of Miss Martha Haines Butt A.M.",NA,NA,1860,NA,NA
"Wright2-0290",NA,"Bennett; Mary E.","Poems and tales",NA,NA,1851,NA,NA
"Wright2-0292",NA,"Berkley; Cora.","The Hamiltons or Sunshine in storm",NA,NA,1856,NA,NA
"Wright2-0292A",NA,"Berlin; E. A. (Eliza Annie)","Earth angels and hidden oppression or The life of little Annie",NA,NA,1868,NA,NA
"Wright2-0293",NA,"Berriedale.","Unforgiven",NA,NA,1869,NA,NA
"Wright2-0294",NA,"Berry; Martha E.","Bella or The cradle of liberty",NA,NA,1874,NA,NA
"Wright2-0295",NA,"Bickford; J. T.; Mrs.","Scandal",NA,NA,1857,NA,NA
"Wright2-0296",NA,"Bickley; Charles Powell.","Garnelle or The rover's oath of blood",NA,NA,1853,NA,NA
"Wright2-0297",NA,"Bickley; George W. L.","Adalaska or The strange and mysterious family of the Cave of Genreva",NA,NA,1853,NA,NA
"Wright2-0300",NA,"Binder; William Earle.","Madelon Hawley or The Jesuit and his victim",NA,NA,1857,NA,NA
"Wright2-0301",NA,"Binder; William Earle.","Viola or The triumphs of love and faith",NA,NA,1858,NA,NA
"Wright2-0302",NA,"Azile.","Dora Raymond or Truth triumphant",NA,NA,1863,NA,NA
"Wright2-0303",NA,"Anonymous","The Birthday gifts",NA,NA,1867,NA,NA
"Wright2-0305",NA,"Blackson; Lorenzo D.","The rise and progress of the kingdoms of light & darkness or The reign of Kings Alpha and Abadon",NA,NA,1867,NA,NA
"Wright2-0307",NA,"Blake; Lillie Devereux","Fettered for life or Lord and master",NA,NA,1874,NA,NA
"Wright2-0308",NA,"Blake; Lillie Devereux","Rockford or Sunshine and storm",NA,NA,1863,NA,NA
"Wright2-0309",NA,"Blake; Lillie Devereux","Southwold",NA,NA,1859,NA,NA
"Wright2-0311",NA,"Anonymous","Blanche Seymour",NA,NA,1873,NA,NA
"Wright2-0311A",NA,"Bland; T. A.","Farming as a profession or How Charles Loring made it pay",NA,NA,1870,NA,NA
"Wright2-0312",NA,"Bland; William.","The awful doom of the traitor or The terrible fate of the deluded and guilty",NA,NA,1852,NA,NA
"Wright2-0313",NA,"Kennett; Clare","The yoke and burden",NA,NA,1869,NA,NA
"Wright2-0314",NA,"Moore; Bloomfield H.; Mrs.","Tight times or The diamond cross",NA,NA,1855,NA,NA
"Wright2-0315",NA,"Philalethes","Justo Ucundono",NA,NA,1854,NA,NA
"Wright2-0316",NA,"Blunt; Ellen Key","Bread to my children",NA,NA,1856,NA,NA
"Wright2-0317",NA,"Blunt; Ellen Key","The ✗mas star for the poor",NA,NA,1856,NA,NA
"Wright2-0319",NA,"Bogart; W. H.","Quentin Durward",NA,NA,1869,NA,NA
"Wright2-0320",NA,"Bolton; Sarah Knowles","The present problem",NA,NA,1874,NA,NA
"Wright2-0322",NA,"Bouton; John Bell","Round the block",NA,NA,1864,NA,NA
"Wright2-0323",NA,"Bowen; Sue Petigru","Busy moments of an idle woman",NA,NA,1854,NA,NA
"Wright2-0324",NA,"Bowen; Sue Petigru","Gerald Gray's wife",NA,NA,1864,NA,NA
"Wright2-0325",NA,"Bowen; Sue Petigru","Lily",NA,NA,1855,NA,NA
"Wright2-0326",NA,"Bowen; Sue Petigru","Sylvia's world ; Crimes which the law does not reach",NA,NA,1859,NA,NA
"Wright2-0327",NA,"Bowline; Charley.","The iron tomb or The mock count of New York",NA,NA,1852,NA,NA
"Wright2-0328",NA,"Bowman; Jacob L.","You and Me; or Sketches for Both of Us",NA,NA,1867,NA,NA
"Wright2-0329",NA,"Peppergrass; Paul","Mary Lee or The Yankee in Ireland",NA,NA,1860,NA,NA
"Wright2-0330v2",NA,"Peppergrass; Paul","The spaewife or The queen's secret",NA,NA,1853,NA,NA
"Wright2-0331",NA,"Boyesen; Hjalmar Hjorth","Gunnar",NA,NA,1874,NA,NA
"Wright2-0332",NA,"Boyesen; Hjalmar Hjorth","A Norseman's pilgrimage",NA,NA,1875,NA,NA
"Wright2-0333",NA,"Brace; John Pierce","The fawn of the pale faces or Two centuries ago",NA,NA,1853,NA,NA
"Wright2-0334",NA,"Bradbury; Osgood.","Agnes the beautiful or The gamblers' conspiracy",NA,NA,1853,NA,NA
"Wright2-0335",NA,"Bradbury; Osgood.","Alice Barber or The adventures of a young woman",NA,NA,1853,NA,NA
"Wright2-0336",NA,"Bradbury; Osgood.","The banker's victim or The betrayed seamstress",NA,NA,1857,NA,NA
"Wright2-0337",NA,"Bradbury; Osgood.","The beautiful half breed or The border rovers",NA,NA,1867,NA,NA
"Wright2-0339",NA,"Bradbury; Osgood.","Ellen the pride of Broadway",NA,NA,1865,NA,NA
"Wright2-0339A",NA,"Bradbury; Osgood.","Emily the beautiful seamstress or The danger of the first step",NA,NA,1853,NA,NA
